,status,elevation,name,country,coordinates,location,year,type,vei,total_deaths_description
4,Historical,3350,Etna,Italy,"[37.734, 15.004]",Italy,1329,Stratovolcano,1.0,Many (~101 to 1000 deaths)
5,Historical,1491,Hekla,Iceland,"[63.98, -19.7]",Iceland-S,1510,Stratovolcano,4.0,Many (~101 to 1000 deaths)
8,Historical,1357,Makian,Indonesia,"[0.32, 127.4]",Halmahera-Indonesia,1646,Stratovolcano,4.0,Many (~101 to 1000 deaths)
9,Historical,2426,La Palma,Spain,"[28.58, -17.83]",Canary Is,1677,Stratovolcano,2.0,Few (~1 to 50 deaths)
10,Historical,2523,Hualalai,United States,"[19.692, -155.87]",Hawaiian Is,1784,Shield volcano,0.0,Few (~1 to 50 deaths)
11,Historical,2549,St. Helens,United States,"[46.2, -122.18]",US-Washington,1800,Stratovolcano,5.0,Many (~101 to 1000 deaths)
12,Historical,640,Banda Api,Pacific Ocean,"[-4.525, 129.871]",Banda Sea,1820,Caldera,2.0,Few (~1 to 50 deaths)
14,Historical,3350,Etna,Italy,"[37.734, 15.004]",Italy,1843,Stratovolcano,2.0,Some (~51 to 100 deaths)
15,Historical,2565,Dieng Volc Complex,Indonesia,"[-7.2, 109.92]",Java,1847,Complex volcano,2.0,Some (~51 to 100 deaths)
18,Historical,725,Ruang,Indonesia,"[2.28, 125.425]",Sangihe Is-Indonesia,1870,Stratovolcano,2.0,Few (~1 to 50 deaths)
19,Historical,1018,Iliwerung,Indonesia,"[-8.54, 123.59]",Lesser Sunda Is,1870,Complex volcano,3.0,Few (~1 to 50 deaths)
20,Historical,4650,Purace,Colombia,"[2.32, -76.4]",Colombia,1885,Stratovolcano,3.0,Some (~51 to 100 deaths)
22,Historical,1220,Soufriere St. Vincent,St. Vincent & the Grenadines,"[13.33, -61.18]",W Indies,1902,Stratovolcano,4.0,Very Many (~1001 or more deaths)
24,Historical,2176,Kusatsu-Shirane,Japan,"[36.62, 138.55]",Honshu-Japan,1932,Stratovolcano,3.0,Few (~1 to 50 deaths)
27,Historical,1580,Lokon-Empung,Indonesia,"[1.358, 124.792]",Sulawesi-Indonesia,1991,Stratovolcano,1.0,Few (~1 to 50 deaths)
28,Historical,2552,Pacaya,Guatemala,"[14.381, -90.601]",Guatemala,1995,Complex volcano,3.0,Few (~1 to 50 deaths)
31,Historical,1715,Gamalama,Indonesia,"[0.8, 127.325]",Halmahera-Indonesia,2011,Stratovolcano,3.0,Few (~1 to 50 deaths)
34,Historical,5911,Cotopaxi,Ecuador,"[-0.677, -78.436]",Ecuador,-455,Stratovolcano,4.0,Few (~1 to 50 deaths)
36,Historical,2119,Oraefajokull,Iceland,"[64.0, -16.65]",Iceland-SE,1362,Stratovolcano,5.0,Many (~101 to 1000 deaths)
37,Historical,1731,Kelut,Indonesia,"[-7.93, 112.308]",Java,1385,Stratovolcano,3.0,Few (~1 to 50 deaths)
38,Historical,805,Furnas,Portugal,"[37.77, -25.32]",Azores,1630,Stratovolcano,4.0,Many (~101 to 1000 deaths)
39,Historical,3350,Etna,Italy,"[37.734, 15.004]",Italy,1669,Stratovolcano,3.0,Many (~101 to 1000 deaths)
40,Historical,1496,Aoba,Vanuatu,"[-15.4, 167.83]",Vanuatu-SW Pacific,1670,Shield volcano,2.0,Many (~101 to 1000 deaths)
41,Historical,2249,Guntur,Indonesia,"[-7.13, 107.83]",Java,1690,Complex volcano,3.0,Few (~1 to 50 deaths)
42,Historical,2462,Mayon,Philippines,"[13.257, 123.685]",Luzon-Philippines,1766,Stratovolcano,3.0,Few (~1 to 50 deaths)
43,Historical,423,Aoga-shima,Japan,"[32.45, 139.77]",Izu Is-Japan,1780,Stratovolcano,3.0,Few (~1 to 50 deaths)
44,Historical,1725,Grimsvotn,Iceland,"[64.42, -17.33]",Iceland-NE,1784,Caldera,4.0,Very Many (~1001 or more deaths)
45,Historical,1925,Victory,Papua New Guinea,"[-9.2, 149.07]",New Guinea,1890,Stratovolcano,2.0,Many (~101 to 1000 deaths)
46,Historical,2560,Asama,Japan,"[36.4, 138.53]",Honshu-Japan,1913,Complex volcano,1.0,Few (~1 to 50 deaths)
47,Historical,2077,Tokachi,Japan,"[43.42, 142.68]",Hokkaido-Japan,1926,Stratovolcano,3.0,Many (~101 to 1000 deaths)
48,Historical,3763,Fuego,Guatemala,"[14.473, -90.88]",Guatemala,1932,Stratovolcano,4.0,Few (~1 to 50 deaths)
49,Historical,2847,Villarrica,Chile,"[-39.42, -71.93]",Chile-C,1964,Stratovolcano,2.0,Few (~1 to 50 deaths)
51,Historical,2947,Merapi,Indonesia,"[-7.542, 110.442]",Java,1974,Stratovolcano,2.0,Few (~1 to 50 deaths)
52,Historical,3470,Nyiragongo,"Congo, DRC","[-1.52, 29.25]",Africa-C,1977,Stratovolcano,1.0,Some (~51 to 100 deaths)
53,Historical,2865,Lonquimay,Chile,"[-38.377, -71.58]",Chile-C,1988,Stratovolcano,3.0,Few (~1 to 50 deaths)
54,Historical,1500,Unzen,Japan,"[32.75, 130.3]",Kyushu-Japan,1991,Complex volcano,1.0,Few (~1 to 50 deaths)
55,Historical,4784,Guagua Pichincha,Ecuador,"[-0.171, -78.598]",Ecuador,1993,Stratovolcano,1.0,Few (~1 to 50 deaths)
56,Historical,5023,Tungurahua,Ecuador,"[-1.467, -78.442]",Ecuador,2008,Stratovolcano,3.0,Few (~1 to 50 deaths)
57,Holocene,2218,Nabro,Eritrea,"[13.37, 41.7]",Africa-NE,2011,Stratovolcano,3.0,Few (~1 to 50 deaths)
61,Historical,1731,Kelut,Indonesia,"[-7.93, 112.308]",Java,1334,Stratovolcano,3.0,Few (~1 to 50 deaths)
62,Historical,1635,Gamkonora,Indonesia,"[1.375, 127.52]",Halmahera-Indonesia,1564,Stratovolcano,3.0,Few (~1 to 50 deaths)
63,Historical,1320,Awu,Indonesia,"[3.67, 125.5]",Sangihe Is-Indonesia,1711,Stratovolcano,3.0,Very Many (~1001 or more deaths)
65,Historical,5911,Cotopaxi,Ecuador,"[-0.677, -78.436]",Ecuador,1877,Stratovolcano,4.0,Many (~101 to 1000 deaths)
66,Historical,1320,Awu,Indonesia,"[3.67, 125.5]",Sangihe Is-Indonesia,1892,Stratovolcano,3.0,Very Many (~1001 or more deaths)
67,Historical,3676,Semeru,Indonesia,"[-8.108, 112.92]",Java,1895,Stratovolcano,2.0,Few (~1 to 50 deaths)
68,Historical,1839,Karkar,Papua New Guinea,"[-4.649, 145.964]",New Guinea-NE of,1895,Stratovolcano,2.0,Few (~1 to 50 deaths)
70,Historical,2361,Karthala,Comoros,"[-11.75, 43.38]",Indian O-W,1904,Shield volcano,2.0,Few (~1 to 50 deaths)
71,Historical,1281,Vesuvius,Italy,"[40.821, 14.426]",Italy,1906,Complex volcano,3.0,Many (~101 to 1000 deaths)
72,Historical,3350,Etna,Italy,"[37.734, 15.004]",Italy,1928,Stratovolcano,1.0,Few (~1 to 50 deaths)
74,Historical,2947,Merapi,Indonesia,"[-7.542, 110.442]",Java,1930,Stratovolcano,3.0,Very Many (~1001 or more deaths)
75,Historical,1145,Kharimkotan,Russia,"[49.12, 154.508]",Kuril Is,1933,Stratovolcano,3.0,Few (~1 to 50 deaths)
76,Historical,649,Kuchinoerabu-jima,Japan,"[30.43, 130.22]",Ryukyu Is,1933,Stratovolcano,4.0,Few (~1 to 50 deaths)
77,Historical,3676,Semeru,Indonesia,"[-8.108, 112.92]",Java,1950,Stratovolcano,1.0,Few (~1 to 50 deaths)
78,Historical,2631,"Fournaise, Piton de la",Reunion,"[-21.229, 55.713]",Indian O-W,1972,Shield volcano,2.0,Few (~1 to 50 deaths)
79,Historical,731,Usu,Japan,"[42.53, 140.83]",Hokkaido-Japan,1978,Stratovolcano,3.0,Few (~1 to 50 deaths)
82,Historical,3562,Reventador,Ecuador,"[-0.078, -77.656]",Ecuador,2002,Stratovolcano,4.0,Few (~1 to 50 deaths)
90,Historical,1592,Aso,Japan,"[32.88, 131.1]",Kyushu-Japan,1485,Caldera,2.0,Few (~1 to 50 deaths)
91,Historical,1185,Dukono,Indonesia,"[1.68, 127.88]",Halmahera-Indonesia,1550,Complex volcano,3.0,Few (~1 to 50 deaths)
92,Historical,3850,Colima,Mexico,"[19.514, -103.62]",Mexico,1576,Stratovolcano,3.0,Few (~1 to 50 deaths)
94,Historical,2560,Asama,Japan,"[36.4, 138.53]",Honshu-Japan,1598,Complex volcano,2.0,Many (~101 to 1000 deaths)
95,Historical,670,Lanzarote,Spain,"[29.03, -13.63]",Canary Is,1730,Fissure vent,2.0,Few (~1 to 50 deaths)
96,Historical,2665,Papandayan,Indonesia,"[-7.32, 107.73]",Java,1772,Stratovolcano,3.0,Very Many (~1001 or more deaths)
97,Historical,1117,Sakura-jima,Japan,"[31.58, 130.67]",Kyushu-Japan,1781,Stratovolcano,4.0,Few (~1 to 50 deaths)
98,Historical,1592,Aso,Japan,"[32.88, 131.1]",Kyushu-Japan,1826,Caldera,2.0,Many (~101 to 1000 deaths)
100,Historical,510,Savo,Solomon Is.,"[-9.13, 159.82]",Solomon Is-SW Pacifi,1840,Stratovolcano,3.0,Many (~101 to 1000 deaths)
101,Historical,688,Rabaul,Papua New Guinea,"[-4.271, 152.203]",New Britain-SW Pac,1850,Pyroclastic shield,2.0,Many (~101 to 1000 deaths)
103,Historical,2361,Karthala,Comoros,"[-11.75, 43.38]",Indian O-W,1883,Shield volcano,2.0,Many (~101 to 1000 deaths)
104,Historical,2462,Mayon,Philippines,"[13.257, 123.685]",Luzon-Philippines,1887,Stratovolcano,3.0,Few (~1 to 50 deaths)
106,Historical,1397,Pelee,Martinique,"[14.82, -61.17]",W Indies,1902,Stratovolcano,4.0,Many (~101 to 1000 deaths)
107,Historical,3772,Santa Maria,Guatemala,"[14.756, -91.552]",Guatemala,1902,Stratovolcano,6.0,Very Many (~1001 or more deaths)
108,Historical,2560,Asama,Japan,"[36.4, 138.53]",Honshu-Japan,1936,Complex volcano,3.0,Few (~1 to 50 deaths)
109,Historical,3125,Llaima,Chile,"[-38.692, -71.729]",Chile-C,1937,Stratovolcano,2.0,Few (~1 to 50 deaths)
110,Historical,1690,"Azul, Cerro",Ecuador,"[-0.9, -91.42]",Galapagos,1943,Shield volcano,3.0,Few (~1 to 50 deaths)
111,Historical,1680,Lamington,Papua New Guinea,"[-8.95, 148.15]",New Guinea,1951,Stratovolcano,4.0,Very Many (~1001 or more deaths)
113,Historical,3676,Semeru,Indonesia,"[-8.108, 112.92]",Java,1981,Stratovolcano,3.0,Many (~101 to 1000 deaths)
115,Historical,3350,Etna,Italy,"[37.734, 15.004]",Italy,1985,Stratovolcano,1.0,Few (~1 to 50 deaths)
118,Historical,3676,Semeru,Indonesia,"[-8.108, 112.92]",Java,1997,Stratovolcano,3.0,Few (~1 to 50 deaths)
120,Historical,2947,Merapi,Indonesia,"[-7.542, 110.442]",Java,2000,Stratovolcano,2.0,Few (~1 to 50 deaths)
123,Historical,1281,Vesuvius,Italy,"[40.821, 14.426]",Italy,79,Complex volcano,5.0,Very Many (~1001 or more deaths)
124,Historical,1150,"Chichon, El",Mexico,"[17.36, -93.228]",Mexico,1375,Tuff cone,5.0,Some (~51 to 100 deaths)
125,Historical,1731,Kelut,Indonesia,"[-7.93, 112.308]",Java,1376,Stratovolcano,3.0,Few (~1 to 50 deaths)
126,Historical,458,Campi Flegrei,Italy,"[40.827, 14.139]",Italy,1538,Caldera,3.0,Few (~1 to 50 deaths)
127,Historical,1500,Unzen,Japan,"[32.75, 130.3]",Kyushu-Japan,1664,Complex volcano,2.0,Few (~1 to 50 deaths)
128,Historical,5911,Cotopaxi,Ecuador,"[-0.677, -78.436]",Ecuador,1698,Stratovolcano,3.0,Some (~51 to 100 deaths)
129,Historical,1715,Gamalama,Indonesia,"[0.8, 127.325]",Halmahera-Indonesia,1775,Stratovolcano,3.0,Very Many (~1001 or more deaths)
130,Historical,2462,Mayon,Philippines,"[13.257, 123.685]",Luzon-Philippines,1800,Stratovolcano,2.0,Few (~1 to 50 deaths)
131,Historical,731,Usu,Japan,"[42.53, 140.83]",Hokkaido-Japan,1822,Stratovolcano,4.0,Few (~1 to 50 deaths)
132,Historical,2168,Galunggung,Indonesia,"[-7.25, 108.05]",Java,1822,Stratovolcano,5.0,Very Many (~1001 or more deaths)
134,Historical,815,Miyake-jima,Japan,"[34.08, 139.53]",Izu Is-Japan,1874,Stratovolcano,3.0,Few (~1 to 50 deaths)
138,Historical,2565,Dieng Volc Complex,Indonesia,"[-7.2, 109.92]",Java,1928,Complex volcano,2.0,Few (~1 to 50 deaths)
139,Historical,1565,Bulusan,Philippines,"[12.77, 124.05]",Luzon-Philippines,1933,Stratovolcano,2.0,Few (~1 to 50 deaths)
140,Historical,731,Usu,Japan,"[42.53, 140.83]",Hokkaido-Japan,1944,Stratovolcano,2.0,Few (~1 to 50 deaths)
142,Historical,1731,Kelut,Indonesia,"[-7.93, 112.308]",Java,1966,Stratovolcano,4.0,Many (~101 to 1000 deaths)
145,Historical,1905,"Hudson, Cerro",Chile,"[-45.9, -72.97]",Chile-S,1971,Stratovolcano,3.0,Few (~1 to 50 deaths)
146,Historical,1018,Iliwerung,Indonesia,"[-8.54, 123.59]",Lesser Sunda Is,1973,Complex volcano,2.0,Few (~1 to 50 deaths)
147,Historical,1839,Karkar,Papua New Guinea,"[-4.649, 145.964]",New Guinea-NE of,1979,Stratovolcano,2.0,Few (~1 to 50 deaths)
149,Historical,1150,"Chichon, El",Mexico,"[17.36, -93.228]",Mexico,1982,Tuff cone,5.0,Very Many (~1001 or more deaths)
150,Historical,4276,Galeras,Colombia,"[1.22, -77.37]",Colombia,1993,Complex volcano,2.0,Few (~1 to 50 deaths)
155,Historical,3063,On-take,Japan,"[35.9, 137.48]",Honshu-Japan,2014,Complex volcano,3.0,Some (~51 to 100 deaths)
162,Historical,1700,Kirishima,Japan,"[31.93, 130.87]",Kyushu-Japan,1566,Shield volcano,3.0,Many (~101 to 1000 deaths)
164,Historical,5023,Tungurahua,Ecuador,"[-1.467, -78.442]",Ecuador,1640,Stratovolcano,3.0,Very Many (~1001 or more deaths)
165,Historical,329,Santorini,Greece,"[36.404, 25.396]",Greece,1650,Shield volcano,4.0,Many (~101 to 1000 deaths)
167,Historical,2947,Merapi,Indonesia,"[-7.542, 110.442]",Java,1672,Stratovolcano,3.0,Very Many (~1001 or more deaths)
169,Historical,1700,Kirishima,Japan,"[31.93, 130.87]",Kyushu-Japan,1717,Shield volcano,3.0,Few (~1 to 50 deaths)
170,Historical,737,Oshima-Oshima,Japan,"[41.5, 139.37]",Hokkaido-Japan,1741,Stratovolcano,4.0,Very Many (~1001 or more deaths)
173,Historical,3332,Raung,Indonesia,"[-8.125, 114.042]",Java,1817,Stratovolcano,4.0,Few (~1 to 50 deaths)
174,Historical,1952,Kaba,Indonesia,"[-3.52, 102.62]",Sumatra,1833,Stratovolcano,2.0,Many (~101 to 1000 deaths)
177,Historical,725,Ruang,Indonesia,"[2.28, 125.425]",Sangihe Is-Indonesia,1871,Stratovolcano,2.0,Many (~101 to 1000 deaths)
178,Historical,1807,Manam,Papua New Guinea,"[-4.1, 145.061]",New Guinea-NE of,1899,Stratovolcano,2.0,Few (~1 to 50 deaths)
179,Historical,1700,Kirishima,Japan,"[31.93, 130.87]",Kyushu-Japan,1900,Shield volcano,2.0,Few (~1 to 50 deaths)
180,Historical,2462,Mayon,Philippines,"[13.257, 123.685]",Luzon-Philippines,1928,Stratovolcano,3.0,Few (~1 to 50 deaths)
181,Historical,688,Rabaul,Papua New Guinea,"[-4.271, 152.203]",New Britain-SW Pac,1937,Pyroclastic shield,4.0,Many (~101 to 1000 deaths)
182,Historical,1117,Sakura-jima,Japan,"[31.58, 130.67]",Kyushu-Japan,1946,Stratovolcano,2.0,Few (~1 to 50 deaths)
184,Historical,5230,Sangay,Ecuador,"[-2.03, -78.33]",Ecuador,1976,Stratovolcano,3.0,Few (~1 to 50 deaths)
185,Historical,4835,Kliuchevskoi,Russia,"[56.057, 160.638]",Kamchatka,1977,Stratovolcano,3.0,Few (~1 to 50 deaths)
187,Historical,1784,Karangetang [Api Siau],Indonesia,"[2.78, 125.48]",Sangihe Is-Indonesia,1992,Stratovolcano,1.0,Few (~1 to 50 deaths)
188,Historical,688,Rabaul,Papua New Guinea,"[-4.271, 152.203]",New Britain-SW Pac,1994,Pyroclastic shield,3.0,Few (~1 to 50 deaths)
189,Historical,2947,Merapi,Indonesia,"[-7.542, 110.442]",Java,1997,Stratovolcano,2.0,Few (~1 to 50 deaths)
190,Historical,1807,Manam,Papua New Guinea,"[-4.1, 145.061]",New Guinea-NE of,2005,Stratovolcano,4.0,Few (~1 to 50 deaths)
195,Historical,1731,Kelut,Indonesia,"[-7.93, 112.308]",Java,1586,Stratovolcano,5.0,Very Many (~1001 or more deaths)
197,Historical,1222,Kilauea,United States,"[19.425, -155.292]",Hawaiian Is,1823,Shield volcano,0.0,Few (~1 to 50 deaths)
198,Historical,2947,Merapi,Indonesia,"[-7.542, 110.442]",Java,1832,Stratovolcano,3.0,Few (~1 to 50 deaths)
199,Historical,1715,Gamalama,Indonesia,"[0.8, 127.325]",Halmahera-Indonesia,1838,Stratovolcano,2.0,Few (~1 to 50 deaths)
200,Historical,2462,Mayon,Philippines,"[13.257, 123.685]",Luzon-Philippines,1858,Stratovolcano,2.0,Few (~1 to 50 deaths)
201,Historical,1592,Aso,Japan,"[32.88, 131.1]",Kyushu-Japan,1872,Caldera,3.0,Few (~1 to 50 deaths)
203,Historical,2024,Azuma,Japan,"[37.73, 140.25]",Honshu-Japan,1893,Stratovolcano,2.0,Few (~1 to 50 deaths)
205,Historical,815,Miyake-jima,Japan,"[34.08, 139.53]",Izu Is-Japan,1940,Stratovolcano,2.0,Few (~1 to 50 deaths)
208,Historical,3763,Fuego,Guatemala,"[14.473, -90.88]",Guatemala,1974,Stratovolcano,4.0,Few (~1 to 50 deaths)
209,Historical,2891,Marapi,Indonesia,"[-0.381, 100.473]",Sumatra,1975,Complex volcano,2.0,Some (~51 to 100 deaths)
216,Historical,2462,Mayon,Philippines,"[13.257, 123.685]",Luzon-Philippines,1993,Stratovolcano,2.0,Some (~51 to 100 deaths)
221,Historical,1731,Kelut,Indonesia,"[-7.93, 112.308]",Java,1311,Stratovolcano,3.0,Few (~1 to 50 deaths)
222,Historical,1917,Nasu,Japan,"[37.12, 139.97]",Honshu-Japan,1410,Stratovolcano,3.0,Many (~101 to 1000 deaths)
223,Historical,1043,Fayal,Portugal,"[38.6, -28.73]",Azores,1672,Stratovolcano,2.0,Few (~1 to 50 deaths)
225,Historical,2175,Kieyo,Tanzania,"[-9.23, 33.78]",Africa-E,1800,Stratovolcano,2.0,Many (~101 to 1000 deaths)
226,Historical,2560,Asama,Japan,"[36.4, 138.53]",Honshu-Japan,1803,Complex volcano,2.0,Few (~1 to 50 deaths)
227,Historical,1334,Ambrym,Vanuatu,"[-16.25, 168.12]",Vanuatu-SW Pacific,1894,Pyroclastic shield,3.0,Few (~1 to 50 deaths)
228,Historical,731,Usu,Japan,"[42.53, 140.83]",Hokkaido-Japan,1910,Stratovolcano,2.0,Few (~1 to 50 deaths)
229,Historical,2560,Asama,Japan,"[36.4, 138.53]",Honshu-Japan,1911,Complex volcano,2.0,Few (~1 to 50 deaths)
230,Historical,1893,San Salvador,El Salvador,"[13.736, -89.286]",El Salvador,1917,Stratovolcano,3.0,Many (~101 to 1000 deaths)
232,Historical,1700,Kirishima,Japan,"[31.93, 130.87]",Kyushu-Japan,1923,Shield volcano,2.0,Few (~1 to 50 deaths)
233,Historical,1140,Komaga-take,Japan,"[42.07, 140.68]",Hokkaido-Japan,1929,Stratovolcano,4.0,Few (~1 to 50 deaths)
234,Historical,3772,Santa Maria,Guatemala,"[14.756, -91.552]",Guatemala,1929,Stratovolcano,3.0,Many (~101 to 1000 deaths)
236,Historical,1731,Kelut,Indonesia,"[-7.93, 112.308]",Java,1951,Stratovolcano,3.0,Few (~1 to 50 deaths)
237,Historical,1320,Awu,Indonesia,"[3.67, 125.5]",Sangihe Is-Indonesia,1966,Stratovolcano,4.0,Few (~1 to 50 deaths)
238,Historical,2847,Villarrica,Chile,"[-39.42, -71.93]",Chile-C,1971,Stratovolcano,2.0,Few (~1 to 50 deaths)
239,Historical,2400,Niigata-Yake-yama,Japan,"[36.92, 138.03]",Honshu-Japan,1974,Lava dome,2.0,Few (~1 to 50 deaths)
240,Historical,2361,Karthala,Comoros,"[-11.75, 43.38]",Indian O-W,1977,Shield volcano,0.0,Few (~1 to 50 deaths)
242,Historical,1150,"Chichon, El",Mexico,"[17.36, -93.228]",Mexico,1982,Tuff cone,5.0,Few (~1 to 50 deaths)
245,Historical,1222,Kilauea,United States,"[19.425, -155.292]",Hawaiian Is,2018,Shield volcano,1.0,Few (~1 to 50 deaths)
246,Historical,717,Kikai,Japan,"[30.78, 130.28]",Ryukyu Is,-4350,Caldera,7.0,Many (~101 to 1000 deaths)
250,Historical,1117,Sakura-jima,Japan,"[31.58, 130.67]",Kyushu-Japan,1471,Stratovolcano,5.0,Many (~101 to 1000 deaths)
252,Historical,3850,Colima,Mexico,"[19.514, -103.62]",Mexico,1590,Stratovolcano,3.0,Many (~101 to 1000 deaths)
253,Historical,2560,Asama,Japan,"[36.4, 138.53]",Honshu-Japan,1596,Complex volcano,2.0,Many (~101 to 1000 deaths)
257,Historical,1281,Vesuvius,Italy,"[40.821, 14.426]",Italy,1737,Complex volcano,2.0,Few (~1 to 50 deaths)
258,Historical,1117,Sakura-jima,Japan,"[31.58, 130.67]",Kyushu-Japan,1779,Stratovolcano,4.0,Many (~101 to 1000 deaths)
259,Historical,2560,Asama,Japan,"[36.4, 138.53]",Honshu-Japan,1783,Complex volcano,4.0,Very Many (~1001 or more deaths)
