,status,elevation,name,country,coordinates,location,year,type,vei,total_deaths_description
519,Historical,2168,Galunggung,Indonesia,"[-7.25, 108.05]",Java,1982,Stratovolcano,4.0,Some (~51 to 100 deaths)
520,Historical,1657,Arenal,Costa Rica,"[10.463, -84.703]",Costa Rica,1988,Stratovolcano,3.0,Few (~1 to 50 deaths)
524,Historical,1512,Katla,Iceland,"[63.63, -19.05]",Iceland-S,1262,Subglacial volcano,3.0,Few (~1 to 50 deaths)
525,Historical,1491,Hekla,Iceland,"[63.98, -19.7]",Iceland-S,1300,Stratovolcano,4.0,Many (~101 to 1000 deaths)
526,Historical,1592,Aso,Japan,"[32.88, 131.1]",Kyushu-Japan,1331,Caldera,2.0,Few (~1 to 50 deaths)
529,Historical,2560,Asama,Japan,"[36.4, 138.53]",Honshu-Japan,1911,Complex volcano,2.0,Many (~101 to 1000 deaths)
530,Historical,3850,Colima,Mexico,"[19.514, -103.62]",Mexico,1913,Stratovolcano,4.0,Few (~1 to 50 deaths)
531,Historical,1730,Cleveland,United States,"[52.82, -169.95]",Aleutian Is,1944,Stratovolcano,3.0,Few (~1 to 50 deaths)
534,Historical,2426,La Palma,Spain,"[28.58, -17.83]",Canary Is,1971,Stratovolcano,2.0,Few (~1 to 50 deaths)
536,Historical,1220,Soufriere St. Vincent,St. Vincent & the Grenadines,"[13.33, -61.18]",W Indies,1979,Stratovolcano,3.0,Few (~1 to 50 deaths)
538,Historical,3350,Etna,Italy,"[37.734, 15.004]",Italy,1984,Stratovolcano,3.0,Few (~1 to 50 deaths)
539,Historical,1592,Aso,Japan,"[32.88, 131.1]",Kyushu-Japan,1990,Caldera,2.0,Few (~1 to 50 deaths)
541,Historical,3676,Semeru,Indonesia,"[-8.108, 112.92]",Java,1994,Stratovolcano,3.0,Few (~1 to 50 deaths)
545,Historical,1496,Aoba,Vanuatu,"[-15.4, 167.83]",Vanuatu-SW Pacific,2018,Shield volcano,3.0,Few (~1 to 50 deaths)
549,Historical,2462,Mayon,Philippines,"[13.257, 123.685]",Luzon-Philippines,1853,Stratovolcano,3.0,Few (~1 to 50 deaths)
550,Historical,2947,Merapi,Indonesia,"[-7.542, 110.442]",Java,1872,Stratovolcano,4.0,Many (~101 to 1000 deaths)
556,Historical,1114,Carran-Los Venados,Chile,"[-40.35, -72.07]",Chile-C,1955,Pyroclastic cone,4.0,Few (~1 to 50 deaths)
557,Historical,2947,Merapi,Indonesia,"[-7.542, 110.442]",Java,1961,Stratovolcano,3.0,Few (~1 to 50 deaths)
558,Historical,1657,Arenal,Costa Rica,"[10.463, -84.703]",Costa Rica,1975,Stratovolcano,3.0,Few (~1 to 50 deaths)
563,Historical,2947,Merapi,Indonesia,"[-7.542, 110.442]",Java,1994,Stratovolcano,3.0,Some (~51 to 100 deaths)
564,Historical,2455,Yake-dake,Japan,"[36.22, 137.58]",Honshu-Japan,1995,Stratovolcano,1.0,Few (~1 to 50 deaths)
568,Historical,3763,Fuego,Guatemala,"[14.473, -90.88]",Guatemala,2018,Stratovolcano,2.0,Many (~101 to 1000 deaths)
571,Historical,2119,Oraefajokull,Iceland,"[64.0, -16.65]",Iceland-SE,1727,Stratovolcano,4.0,Few (~1 to 50 deaths)
572,Historical,1731,Kelut,Indonesia,"[-7.93, 112.308]",Java,1826,Stratovolcano,3.0,Few (~1 to 50 deaths)
573,Historical,4170,Mauna Loa,United States,"[19.475, -155.608]",Hawaiian Is,1868,Shield volcano,2.0,Some (~51 to 100 deaths)
574,Historical,1703,Lewotobi,Indonesia,"[-8.53, 122.775]",Lesser Sunda Is,1869,Stratovolcano,2.0,Few (~1 to 50 deaths)
575,Anthropology,400,Dakataua,Papua New Guinea,"[-5.056, 150.108]",New Britain-SW Pac,1895,Caldera,2.0,Few (~1 to 50 deaths)
576,Historical,1718,Adatara,Japan,"[37.62, 140.28]",Honshu-Japan,1900,Stratovolcano,2.0,Some (~51 to 100 deaths)
578,Historical,2947,Merapi,Indonesia,"[-7.542, 110.442]",Java,1902,Stratovolcano,2.0,Few (~1 to 50 deaths)
579,Historical,1703,Lewotobi,Indonesia,"[-8.53, 122.775]",Lesser Sunda Is,1907,Stratovolcano,2.0,Few (~1 to 50 deaths)
580,Historical,1320,Awu,Indonesia,"[3.67, 125.5]",Sangihe Is-Indonesia,1913,Stratovolcano,2.0,Many (~101 to 1000 deaths)
581,Historical,2560,Asama,Japan,"[36.4, 138.53]",Honshu-Japan,1930,Complex volcano,3.0,Few (~1 to 50 deaths)
584,Historical,2462,Mayon,Philippines,"[13.257, 123.685]",Luzon-Philippines,1938,Stratovolcano,2.0,Few (~1 to 50 deaths)
586,Historical,1324,Mahawu,Indonesia,"[1.358, 124.858]",Sulawesi-Indonesia,1958,Stratovolcano,2.0,Few (~1 to 50 deaths)
588,Historical,875,Paluweh,Indonesia,"[-8.32, 121.708]",Lesser Sunda Is,1964,Stratovolcano,2.0,Few (~1 to 50 deaths)
589,Historical,3374,Spurr,United States,"[61.3, -152.25]",Alaska-SW,1992,Stratovolcano,4.0,Few (~1 to 50 deaths)
592,Historical,1657,Arenal,Costa Rica,"[10.463, -84.703]",Costa Rica,2000,Stratovolcano,3.0,Few (~1 to 50 deaths)
593,Historical,2552,Pacaya,Guatemala,"[14.381, -90.601]",Guatemala,2010,Complex volcano,1.0,Few (~1 to 50 deaths)
600,Historical,742,Pago,Papua New Guinea,"[-5.58, 150.52]",New Britain-SW Pac,-4000,Caldera,6.0,Few (~1 to 50 deaths)
604,Historical,1281,Vesuvius,Italy,"[40.821, 14.426]",Italy,787,Complex volcano,3.0,Few (~1 to 50 deaths)
605,Historical,3350,Etna,Italy,"[37.734, 15.004]",Italy,1536,Stratovolcano,3.0,Few (~1 to 50 deaths)
608,Historical,3332,Raung,Indonesia,"[-8.125, 114.042]",Java,1730,Stratovolcano,3.0,Some (~51 to 100 deaths)
609,Historical,5911,Cotopaxi,Ecuador,"[-0.677, -78.436]",Ecuador,1742,Stratovolcano,3.0,Many (~101 to 1000 deaths)
610,Historical,400,Taal,Philippines,"[14.002, 120.993]",Luzon-Philippines,1749,Stratovolcano,3.0,Few (~1 to 50 deaths)
611,Historical,1731,Kelut,Indonesia,"[-7.93, 112.308]",Java,1848,Stratovolcano,2.0,Few (~1 to 50 deaths)
612,Historical,1625,Dubbi,Eritrea,"[13.58, 41.808]",Africa-NE,1861,Stratovolcano,3.0,Many (~101 to 1000 deaths)
614,Historical,2462,Mayon,Philippines,"[13.257, 123.685]",Luzon-Philippines,1897,Stratovolcano,3.0,Many (~101 to 1000 deaths)
616,Historical,3058,Nyamuragira,"Congo, DRC","[-1.408, 29.2]",Africa-C,1912,Shield volcano,3.0,Few (~1 to 50 deaths)
617,Historical,5426,Popocatepetl,Mexico,"[19.023, -98.622]",Mexico,1919,Stratovolcano,1.0,Some (~51 to 100 deaths)
620,Historical,3350,Etna,Italy,"[37.734, 15.004]",Italy,1929,Stratovolcano,2.0,Few (~1 to 50 deaths)
621,Historical,403,Tori-shima,Japan,"[30.48, 140.32]",Izu Is-Japan,1939,Stratovolcano,2.0,Few (~1 to 50 deaths)
622,Historical,1784,Karangetang [Api Siau],Indonesia,"[2.78, 125.48]",Sangihe Is-Indonesia,1940,Stratovolcano,2.0,Few (~1 to 50 deaths)
623,Historical,2560,Asama,Japan,"[36.4, 138.53]",Honshu-Japan,1947,Complex volcano,2.0,Few (~1 to 50 deaths)
624,Historical,758,Oshima,Japan,"[34.73, 139.38]",Izu Is-Japan,1957,Stratovolcano,2.0,Few (~1 to 50 deaths)
625,Historical,1592,Aso,Japan,"[32.88, 131.1]",Kyushu-Japan,1979,Caldera,2.0,Few (~1 to 50 deaths)
628,Historical,1592,Aso,Japan,"[32.88, 131.1]",Kyushu-Japan,1994,Caldera,1.0,Few (~1 to 50 deaths)
629,Historical,3350,Etna,Italy,"[37.734, 15.004]",Italy,2001,Stratovolcano,3.0,Few (~1 to 50 deaths)
630,Historical,1565,Bulusan,Philippines,"[12.77, 124.05]",Luzon-Philippines,2011,Stratovolcano,2.0,Few (~1 to 50 deaths)
635,Historical,5321,Ruiz,Colombia,"[4.895, -75.322]",Colombia,1595,Stratovolcano,4.0,Many (~101 to 1000 deaths)
636,Historical,640,Banda Api,Pacific Ocean,"[-4.525, 129.871]",Banda Sea,1598,Caldera,3.0,Few (~1 to 50 deaths)
637,Historical,3332,Raung,Indonesia,"[-8.125, 114.042]",Java,1638,Stratovolcano,4.0,Very Many (~1001 or more deaths)
639,Historical,1725,Grimsvotn,Iceland,"[64.42, -17.33]",Iceland-NE,1684,Caldera,2.0,Few (~1 to 50 deaths)
641,Historical,640,Banda Api,Pacific Ocean,"[-4.525, 129.871]",Banda Sea,1694,Caldera,3.0,Some (~51 to 100 deaths)
642,Historical,1281,Vesuvius,Italy,"[40.821, 14.426]",Italy,1794,Complex volcano,3.0,Many (~101 to 1000 deaths)
643,Historical,1053,San Jorge,Portugal,"[38.65, -28.08]",Azores,1800,Fissure vent,1.0,Few (~1 to 50 deaths)
644,Historical,1592,Aso,Japan,"[32.88, 131.1]",Kyushu-Japan,1816,Caldera,2.0,Few (~1 to 50 deaths)
645,Historical,2799,Ijen,Indonesia,"[-8.058, 114.242]",Java,1817,Stratovolcano,2.0,Some (~51 to 100 deaths)
647,Historical,618,E-san,Japan,"[41.8, 141.17]",Hokkaido-Japan,1846,Stratovolcano,1.0,Many (~101 to 1000 deaths)
650,Historical,841,Novarupta,United States,"[58.27, -155.16]",Alaska Peninsula,1912,Caldera,6.0,Few (~1 to 50 deaths)
653,Historical,2565,Dieng Volc Complex,Indonesia,"[-7.2, 109.92]",Java,1964,Complex volcano,1.0,Many (~101 to 1000 deaths)
656,Historical,3676,Semeru,Indonesia,"[-8.108, 112.92]",Java,1976,Stratovolcano,2.0,Many (~101 to 1000 deaths)
657,Historical,1784,Karangetang [Api Siau],Indonesia,"[2.78, 125.48]",Sangihe Is-Indonesia,1976,Stratovolcano,2.0,Few (~1 to 50 deaths)
658,Historical,3772,Santa Maria,Guatemala,"[14.756, -91.552]",Guatemala,1978,Stratovolcano,3.0,Few (~1 to 50 deaths)
659,Historical,4835,Kliuchevskoi,Russia,"[56.057, 160.638]",Kamchatka,1983,Stratovolcano,2.0,Few (~1 to 50 deaths)
660,Historical,758,Oshima,Japan,"[34.73, 139.38]",Izu Is-Japan,1986,Stratovolcano,3.0,Few (~1 to 50 deaths)
661,Historical,1784,Karangetang [Api Siau],Indonesia,"[2.78, 125.48]",Sangihe Is-Indonesia,1992,Stratovolcano,2.0,Few (~1 to 50 deaths)
663,Historical,875,Paluweh,Indonesia,"[-8.32, 121.708]",Lesser Sunda Is,2013,Stratovolcano,3.0,Few (~1 to 50 deaths)
666,Historical,813,Krakatau,Indonesia,"[-6.102, 105.423]",Indonesia,2018,Caldera,1.0,Many (~101 to 1000 deaths)
669,Historical,1117,Sakura-jima,Japan,"[31.58, 130.67]",Kyushu-Japan,764,Stratovolcano,4.0,Some (~51 to 100 deaths)
670,Historical,1117,Sakura-jima,Japan,"[31.58, 130.67]",Kyushu-Japan,766,Stratovolcano,3.0,Many (~101 to 1000 deaths)
671,Historical,1357,Makian,Indonesia,"[0.32, 127.4]",Halmahera-Indonesia,1760,Stratovolcano,4.0,Very Many (~1001 or more deaths)
673,Historical,1222,Kilauea,United States,"[19.425, -155.292]",Hawaiian Is,1790,Shield volcano,4.0,Very Many (~1001 or more deaths)
674,Historical,2560,Asama,Japan,"[36.4, 138.53]",Honshu-Japan,1803,Complex volcano,2.0,Few (~1 to 50 deaths)
677,Historical,1651,Lamongan,Indonesia,"[-8.0, 113.342]",Java,1869,Stratovolcano,2.0,Few (~1 to 50 deaths)
679,Historical,2560,Asama,Japan,"[36.4, 138.53]",Honshu-Japan,1900,Complex volcano,2.0,Few (~1 to 50 deaths)
681,Historical,875,Paluweh,Indonesia,"[-8.32, 121.708]",Lesser Sunda Is,1928,Stratovolcano,3.0,Many (~101 to 1000 deaths)
682,Holocene,360,Myojun Knoll,Japan,"[32.1, 139.85]",Izu Is-Japan,1952,Submarine volcano,2.0,Few (~1 to 50 deaths)
683,Historical,862,Sirung,Indonesia,"[-8.51, 124.148]",Lesser Sunda Is,1953,Complex volcano,0.0,Few (~1 to 50 deaths)
684,Historical,2847,Villarrica,Chile,"[-39.42, -71.93]",Chile-C,1963,Stratovolcano,2.0,Few (~1 to 50 deaths)
685,Historical,2947,Merapi,Indonesia,"[-7.542, 110.442]",Java,1976,Stratovolcano,2.0,Few (~1 to 50 deaths)
686,Historical,731,Usu,Japan,"[42.53, 140.83]",Hokkaido-Japan,1977,Stratovolcano,3.0,Few (~1 to 50 deaths)
687,Historical,2549,St. Helens,United States,"[46.2, -122.18]",US-Washington,1980,Stratovolcano,5.0,Some (~51 to 100 deaths)
689,Historical,5321,Ruiz,Colombia,"[4.895, -75.322]",Colombia,1985,Stratovolcano,3.0,Very Many (~1001 or more deaths)
691,Historical,3772,Santa Maria,Guatemala,"[14.756, -91.552]",Guatemala,1990,Stratovolcano,3.0,Few (~1 to 50 deaths)
692,Historical,361,Yasur,Vanuatu,"[-19.52, 169.425]",Vanuatu-SW Pacific,1995,Stratovolcano,3.0,Few (~1 to 50 deaths)
693,Historical,2947,Merapi,Indonesia,"[-7.542, 110.442]",Java,2006,Stratovolcano,1.0,Few (~1 to 50 deaths)
694,Historical,1666,Eyjafjallajokull,Iceland,"[63.63, -19.62]",Iceland-S,2010,Stratovolcano,2.0,Few (~1 to 50 deaths)
702,Historical,3332,Raung,Indonesia,"[-8.125, 114.042]",Java,1597,Stratovolcano,3.0,Few (~1 to 50 deaths)
703,Historical,1635,Gamkonora,Indonesia,"[1.375, 127.52]",Halmahera-Indonesia,1673,Stratovolcano,5.0,Many (~101 to 1000 deaths)
704,Historical,400,Taal,Philippines,"[14.002, 120.993]",Luzon-Philippines,1754,Stratovolcano,4.0,Few (~1 to 50 deaths)
705,Historical,5911,Cotopaxi,Ecuador,"[-0.677, -78.436]",Ecuador,1768,Stratovolcano,4.0,Many (~101 to 1000 deaths)
706,Historical,1500,Unzen,Japan,"[32.75, 130.3]",Kyushu-Japan,1792,Complex volcano,2.0,Very Many (~1001 or more deaths)
707,Historical,2462,Mayon,Philippines,"[13.257, 123.685]",Luzon-Philippines,1814,Stratovolcano,4.0,Very Many (~1001 or more deaths)
708,Historical,2850,Tambora,Indonesia,"[-8.25, 118.0]",Lesser Sunda Is,1815,Stratovolcano,7.0,Very Many (~1001 or more deaths)
709,Historical,3850,Colima,Mexico,"[19.514, -103.62]",Mexico,1818,Stratovolcano,4.0,Few (~1 to 50 deaths)
712,Historical,2947,Merapi,Indonesia,"[-7.542, 110.442]",Java,1872,Stratovolcano,4.0,Few (~1 to 50 deaths)
714,Historical,140,Ritter Island,Papua New Guinea,"[-5.52, 148.121]",New Guinea-NE of,1888,Stratovolcano,3.0,Very Many (~1001 or more deaths)
715,Historical,1819,Bandai,Japan,"[37.6, 140.08]",Honshu-Japan,1888,Stratovolcano,4.0,Many (~101 to 1000 deaths)
718,Historical,2947,Merapi,Indonesia,"[-7.542, 110.442]",Java,1920,Stratovolcano,3.0,Few (~1 to 50 deaths)
721,Historical,1332,Camiguin,Philippines,"[9.203, 124.673]",Mindanao-Philippines,1950,Stratovolcano,3.0,Some (~51 to 100 deaths)
722,Historical,2560,Asama,Japan,"[36.4, 138.53]",Honshu-Japan,1950,Complex volcano,2.0,Few (~1 to 50 deaths)
726,Historical,3676,Semeru,Indonesia,"[-8.108, 112.92]",Java,1967,Stratovolcano,3.0,Few (~1 to 50 deaths)
727,Historical,1117,Sakura-jima,Japan,"[31.58, 130.67]",Kyushu-Japan,1974,Stratovolcano,3.0,Few (~1 to 50 deaths)
728,Historical,2565,Dieng Volc Complex,Indonesia,"[-7.2, 109.92]",Java,1979,Complex volcano,1.0,Many (~101 to 1000 deaths)
729,Historical,2462,Mayon,Philippines,"[13.257, 123.685]",Luzon-Philippines,1984,Stratovolcano,3.0,Few (~1 to 50 deaths)
730,Historical,640,Banda Api,Pacific Ocean,"[-4.525, 129.871]",Banda Sea,1988,Caldera,3.0,Few (~1 to 50 deaths)
731,Historical,813,Krakatau,Indonesia,"[-6.102, 105.423]",Indonesia,1993,Caldera,1.0,Few (~1 to 50 deaths)
734,Historical,1565,Bulusan,Philippines,"[12.77, 124.05]",Luzon-Philippines,2006,Stratovolcano,2.0,Few (~1 to 50 deaths)
735,Historical,1807,Manam,Papua New Guinea,"[-4.1, 145.061]",New Guinea-NE of,2007,Stratovolcano,4.0,Few (~1 to 50 deaths)
746,Historical,1053,San Jorge,Portugal,"[38.65, -28.08]",Azores,1580,Fissure vent,3.0,Few (~1 to 50 deaths)
748,Historical,1715,Gamalama,Indonesia,"[0.8, 127.325]",Halmahera-Indonesia,1608,Stratovolcano,3.0,Few (~1 to 50 deaths)
750,Historical,655,Teon,Pacific Ocean,"[-6.92, 129.125]",Banda Sea,1660,Stratovolcano,4.0,Few (~1 to 50 deaths)
751,Historical,1715,Gamalama,Indonesia,"[0.8, 127.325]",Halmahera-Indonesia,1773,Stratovolcano,2.0,Some (~51 to 100 deaths)
752,Historical,1281,Vesuvius,Italy,"[40.821, 14.426]",Italy,1779,Complex volcano,2.0,Few (~1 to 50 deaths)
753,Historical,2237,Chokai,Japan,"[39.08, 140.03]",Honshu-Japan,1801,Stratovolcano,2.0,Few (~1 to 50 deaths)
754,Historical,1320,Shikotsu,Japan,"[42.7, 141.33]",Hokkaido-Japan,1804,Caldera,3.0,Many (~101 to 1000 deaths)
757,Historical,1841,Zao,Japan,"[38.15, 140.45]",Honshu-Japan,1867,Complex volcano,2.0,Few (~1 to 50 deaths)
758,Historical,1496,Aoba,Vanuatu,"[-15.4, 167.83]",Vanuatu-SW Pacific,1870,Shield volcano,2.0,Many (~101 to 1000 deaths)
761,Historical,1592,Aso,Japan,"[32.88, 131.1]",Kyushu-Japan,1953,Caldera,2.0,Few (~1 to 50 deaths)
762,Historical,3432,Irazu,Costa Rica,"[9.979, -83.852]",Costa Rica,1963,Stratovolcano,3.0,Few (~1 to 50 deaths)
764,Historical,2947,Merapi,Indonesia,"[-7.542, 110.442]",Java,1986,Stratovolcano,2.0,Few (~1 to 50 deaths)
768,Historical,815,Miyake-jima,Japan,"[34.08, 139.53]",Izu Is-Japan,2000,Stratovolcano,2.0,Few (~1 to 50 deaths)
769,Historical,2462,Mayon,Philippines,"[13.257, 123.685]",Luzon-Philippines,2006,Stratovolcano,1.0,Very Many (~1001 or more deaths)
773,Historical,926,Stromboli,Italy,"[38.789, 15.213]",Italy,2019,Stratovolcano,2.0,Few (~1 to 50 deaths)
775,Anthropology,1900,"Uwayrid, Harrat",Saudi Arabia,"[27.08, 37.25]",Arabia-W,640,Volcanic field,2.0,Few (~1 to 50 deaths)
777,Historical,4850,Huaynaputina,Peru,"[-16.608, -70.85]",Peru,1600,Stratovolcano,6.0,Very Many (~1001 or more deaths)
778,Historical,1725,Grimsvotn,Iceland,"[64.42, -17.33]",Iceland-NE,1629,Caldera,2.0,Few (~1 to 50 deaths)
780,Historical,551,Raikoke,Russia,"[48.292, 153.25]",Kuril Is,1778,Stratovolcano,4.0,Few (~1 to 50 deaths)
781,Historical,758,Oshima,Japan,"[34.73, 139.38]",Izu Is-Japan,1789,Stratovolcano,2.0,Few (~1 to 50 deaths)
782,Historical,1281,Vesuvius,Italy,"[40.821, 14.426]",Italy,1805,Complex volcano,2.0,Few (~1 to 50 deaths)
783,Historical,2249,Guntur,Indonesia,"[-7.13, 107.83]",Java,1829,Complex volcano,2.0,Many (~101 to 1000 deaths)
786,Historical,1592,Aso,Japan,"[32.88, 131.1]",Kyushu-Japan,1854,Caldera,2.0,Few (~1 to 50 deaths)
788,Historical,1332,Camiguin,Philippines,"[9.203, 124.673]",Mindanao-Philippines,1871,Stratovolcano,2.0,Few (~1 to 50 deaths)
790,Historical,5023,Tungurahua,Ecuador,"[-1.467, -78.442]",Ecuador,1886,Stratovolcano,4.0,Few (~1 to 50 deaths)
791,Historical,1111,Okataina,New Zealand,"[-38.12, 176.5]",New Zealand,1886,Lava dome,2.0,Many (~101 to 1000 deaths)
793,Historical,1332,Camiguin,Philippines,"[9.203, 124.673]",Mindanao-Philippines,1951,Stratovolcano,3.0,Many (~101 to 1000 deaths)
796,Historical,3676,Semeru,Indonesia,"[-8.108, 112.92]",Java,1981,Stratovolcano,3.0,Few (~1 to 50 deaths)
798,Historical,1486,Pinatubo,Philippines,"[15.13, 120.35]",Luzon-Philippines,1993,Stratovolcano,1.0,Few (~1 to 50 deaths)
799,Historical,2435,Kanlaon,Philippines,"[10.412, 123.132]",Philippines-C,1996,Stratovolcano,2.0,Few (~1 to 50 deaths)
808,Historical,1117,Sakura-jima,Japan,"[31.58, 130.67]",Kyushu-Japan,1780,Stratovolcano,4.0,Many (~101 to 1000 deaths)
815,Historical,2947,Merapi,Indonesia,"[-7.542, 110.442]",Java,1872,Stratovolcano,4.0,Many (~101 to 1000 deaths)
816,Historical,1731,Kelut,Indonesia,"[-7.93, 112.308]",Java,1875,Stratovolcano,0.0,Few (~1 to 50 deaths)
819,Historical,742,Pago,Papua New Guinea,"[-5.58, 150.52]",New Britain-SW Pac,1914,Caldera,3.0,Few (~1 to 50 deaths)
820,Historical,1111,Okataina,New Zealand,"[-38.12, 176.5]",New Zealand,1917,Lava dome,1.0,Few (~1 to 50 deaths)
822,Historical,926,Stromboli,Italy,"[38.789, 15.213]",Italy,1930,Stratovolcano,3.0,Few (~1 to 50 deaths)
826,Historical,1117,Sakura-jima,Japan,"[31.58, 130.67]",Kyushu-Japan,1955,Stratovolcano,3.0,Few (~1 to 50 deaths)
828,Historical,1731,Kelut,Indonesia,"[-7.93, 112.308]",Java,1990,Stratovolcano,4.0,Few (~1 to 50 deaths)
829,Historical,1500,Unzen,Japan,"[32.75, 130.3]",Kyushu-Japan,1993,Complex volcano,1.0,Few (~1 to 50 deaths)
830,Historical,1784,Karangetang [Api Siau],Indonesia,"[2.78, 125.48]",Sangihe Is-Indonesia,2010,Stratovolcano,3.0,Few (~1 to 50 deaths)
